,Crypto_Name,Price,TimeStamp
0,Bitcoin,"67,156.71",2024-10-26 22:22:21.110666
Bitcoin,"67,156.71",2024-10-26 22:22:21.110666
Bitcoin,"67,114.87",2024-10-26 22:24:32.092975
Bitcoin,"67,114.87",2024-10-26 22:24:44.275334
Bitcoin,"67,114.87",2024-10-26 22:24:54.495486
Bitcoin,"67,114.87",2024-10-26 22:25:04.682832
Bitcoin,"67,114.87",2024-10-26 22:25:15.083540
Bitcoin,"67,114.87",2024-10-26 22:25:25.275792
Bitcoin,"67,114.87",2024-10-26 22:25:35.465988
Bitcoin,"67,111.35",2024-10-26 22:25:45.698862
Bitcoin,"67,111.35",2024-10-26 22:25:55.900753
Bitcoin,"67,111.35",2024-10-26 22:26:06.101610
Bitcoin,"67,111.35",2024-10-26 22:26:16.294589
Bitcoin,"67,111.35",2024-10-26 22:26:26.496366
Bitcoin,"67,111.35",2024-10-26 22:26:36.694090
Bitcoin,"67,111.35",2024-10-26 22:26:46.871244
Bitcoin,"67,111.35",2024-10-26 22:26:57.186126
Bitcoin,"67,111.35",2024-10-26 22:27:07.368443
Bitcoin,"67,111.35",2024-10-26 22:27:17.547224
Bitcoin,"67,111.35",2024-10-26 22:27:27.707185
Bitcoin,"67,111.35",2024-10-26 22:27:37.897200
Bitcoin,"67,111.35",2024-10-26 22:27:48.062024
Bitcoin,"67,111.35",2024-10-26 22:27:58.278921
Bitcoin,"67,111.35",2024-10-26 22:28:08.440161
Bitcoin,"67,111.35",2024-10-26 22:28:18.603991
Bitcoin,"67,111.35",2024-10-26 22:28:28.799067
Bitcoin,"67,111.35",2024-10-26 22:28:39.167304
Bitcoin,"67,111.35",2024-10-26 22:28:49.342197
Bitcoin,"67,111.35",2024-10-26 22:28:59.499364
Bitcoin,"67,111.35",2024-10-26 22:29:09.670770
Bitcoin,"67,111.35",2024-10-26 22:29:19.937622
Bitcoin,"67,111.35",2024-10-26 22:29:30.131996
Bitcoin,"67,111.35",2024-10-26 22:29:40.339057
Bitcoin,"67,105.26",2024-10-26 22:29:50.547453
Bitcoin,"67,105.26",2024-10-26 22:30:00.732728
Bitcoin,"67,105.26",2024-10-26 22:30:10.931374
Bitcoin,"67,105.26",2024-10-26 22:30:21.252696
Bitcoin,"67,105.26",2024-10-26 22:30:31.462126
Bitcoin,"67,105.26",2024-10-26 22:30:41.687302
Bitcoin,"67,105.26",2024-10-26 22:30:51.888347
Bitcoin,"67,105.26",2024-10-26 22:31:02.093271
Bitcoin,"67,105.26",2024-10-26 22:31:12.285477
Bitcoin,"67,105.26",2024-10-26 22:31:22.482210
Bitcoin,"67,105.26",2024-10-26 22:31:32.693937
